,ds,y
867,2015-04-01,3379.35387
868,2015-05-01,3396.24822
869,2015-06-01,3420.42657
870,2015-07-01,3439.28145
871,2015-08-01,3453.86482
872,2015-09-01,3481.2455
873,2015-10-01,3497.67601
874,2015-11-01,3512.73828
875,2015-12-01,3400.22322
876,2016-01-01,3418.76263
877,2016-02-01,3436.24154
878,2016-03-01,3464.86358
879,2016-04-01,3484.75416
880,2016-05-01,3502.63631
881,2016-06-01,3520.78974
882,2016-07-01,3539.34564
883,2016-08-01,3561.04875
884,2016-09-01,3581.72467
885,2016-10-01,3597.62748
886,2016-11-01,3619.27278
887,2016-12-01,3636.43566
888,2017-01-01,3653.34721
889,2017-02-01,3669.97675
890,2017-03-01,3685.36911
891,2017-04-01,3700.00266
892,2017-05-01,3714.14277
893,2017-06-01,3727.13111
894,2017-07-01,3743.42625
895,2017-08-01,3755.18326
896,2017-09-01,3770.17252
897,2017-10-01,3794.37975
898,2017-11-01,3816.53782
899,2017-12-01,3830.7516
900,2018-01-01,3848.40498
901,2018-02-01,3864.42182
902,2018-03-01,3876.81378
903,2018-04-01,3885.88106
904,2018-05-01,3902.72837
905,2018-06-01,3901.81229
906,2018-07-01,3924.34812
907,2018-08-01,3943.09734
908,2018-09-01,3955.67622
909,2018-10-01,3974.99595
910,2018-11-01,3992.03819
911,2018-12-01,4007.04192
912,2019-01-01,4027.30516
913,2019-02-01,4040.91476
914,2019-03-01,4053.38213
915,2019-04-01,4072.88953
916,2019-05-01,4085.97845
917,2019-06-01,4094.05554
918,2019-07-01,4117.32358
919,2019-08-01,4131.68886
920,2019-09-01,4144.27761
921,2019-10-01,4162.38074
922,2019-11-01,4164.56602
923,2019-12-01,4192.19141
924,2020-01-01,4208.14529
925,2020-02-01,4220.87962
926,2020-03-01,4208.19841
927,2020-04-01,4146.96379
928,2020-05-01,4127.30503
929,2020-06-01,4137.15766
930,2020-07-01,4152.1851
931,2020-08-01,4146.75756
932,2020-09-01,4161.81818
933,2020-10-01,4166.67937
934,2020-11-01,4172.50029
935,2020-12-01,4184.92179
936,2021-01-01,4193.3259
937,2021-02-01,4212.34656
938,2021-03-01,4228.57478
939,2021-04-01,4247.53476
940,2021-05-01,4274.43942
941,2021-06-01,4297.81691
942,2021-07-01,4313.84352
943,2021-08-01,4332.10115
944,2021-09-01,4355.8509
945,2021-10-01,4376.99098
946,2021-11-01,4408.96983
947,2021-12-01,4431.91715
948,2022-01-01,4448.88285
949,2022-02-01,4486.57969
950,2022-03-01,4539.01445
